Date,Open,High,Low,Close,Volume,VWAP,Transactions,Ticker
2023-03-15,93.54,97.25,93.04,96.55,38367334.0,95.5039,350350,GOOG
2023-03-16,96.57,101.97,95.87,101.07,54572200.0,100.2799,502774,GOOG
2023-03-17,100.84,103.49,100.75,102.46,76140310.0,102.2229,437155,GOOG
2023-03-20,101.06,102.58,100.79,101.93,25978666.0,101.8688,266085,GOOG
2023-03-21,101.98,105.96,101.86,105.84,33122800.0,104.7001,283011,GOOG
2023-03-22,105.14,107.51,104.21,104.22,32336877.0,105.6854,327210,GOOG
2023-03-23,105.89,107.1009,105.41,106.26,31385817.0,106.3835,301275,GOOG
2023-03-24,105.74,106.16,104.74,106.06,25245010.0,105.7146,250029,GOOG
2023-03-27,105.32,105.4,102.63,103.06,25393417.0,103.7219,240894,GOOG
2023-03-28,103.0,103.0,100.28,101.36,24913480.0,101.124,240739,GOOG
2023-03-29,102.72,102.82,101.03,101.9,26148300.0,101.8403,248860,GOOG
2023-03-30,101.44,101.61,100.29,101.32,25009829.0,101.0925,222581,GOOG
2023-03-31,101.71,104.19,101.44,104.0,28107953.0,103.2761,238679,GOOG
2023-04-03,102.67,104.95,102.38,104.91,20719861.0,103.9159,190012,GOOG
2023-04-04,104.84,106.1,104.6,105.12,20377231.0,105.2342,204866,GOOG
2023-04-05,106.12,106.54,104.1021,104.95,21864200.0,104.9011,213287,GOOG
2023-04-06,105.77,109.63,104.815,108.9,34684150.0,107.7817,294412,GOOG
2023-04-10,107.39,107.97,105.6,106.95,19741517.0,106.7011,197779,GOOG
2023-04-11,106.92,107.22,105.28,106.12,18721278.0,106.21,198353,GOOG
2023-04-12,107.39,107.5874,104.97,105.22,22761569.0,105.8834,219281,GOOG
2023-04-13,106.47,108.265,106.44,108.19,21650747.0,107.7588,194987,GOOG
2023-04-14,107.69,109.58,107.59,109.46,20758686.0,108.8498,196192,GOOG
2023-04-17,105.43,106.71,105.32,106.42,29043443.0,106.0535,302129,GOOG
2023-04-18,107.0,107.05,104.78,105.12,17641369.0,105.6674,183165,GOOG
2023-04-19,104.215,105.725,103.8,105.02,16732016.0,104.8937,158827,GOOG
2023-04-20,104.65,106.8875,104.64,105.9,22515331.0,105.812,212385,GOOG
2023-04-21,106.09,106.64,105.485,105.91,22379018.0,105.9505,201462,GOOG
2023-04-24,106.05,107.32,105.36,106.78,21410908.0,106.6004,203066,GOOG
2023-04-25,106.61,107.44,104.56,104.61,31405059.0,106.0205,320039,GOOG
2023-04-26,105.56,107.02,103.27,104.45,37027268.0,105.045,396580,GOOG
2023-04-27,105.23,109.15,104.42,108.37,38230420.0,107.9371,348389,GOOG
2023-04-28,107.8,108.29,106.04,108.22,23957872.0,107.5516,227071,GOOG
2023-05-01,107.72,108.68,107.5,107.71,20926259.0,107.9752,194984,GOOG
2023-05-02,107.66,107.73,104.5,105.98,20343116.0,106.0089,211076,GOOG
2023-05-03,106.22,108.13,105.62,106.12,17116333.0,106.592,198128,GOOG
2023-05-04,106.16,106.3,104.7,105.21,19780637.0,105.4847,246918,GOOG
2023-05-05,105.32,106.44,104.7386,106.215,20710627.0,105.7624,216693,GOOG
2023-05-08,105.795,108.42,105.79,108.24,17266021.0,107.6016,195916,GOOG
2023-05-09,108.78,110.595,107.725,107.94,24782442.0,108.9356,290070,GOOG
2023-05-10,108.55,113.51,108.48,112.28,47521463.0,111.0469,553267,GOOG
2023-05-11,115.86,118.44,114.9301,116.9,57114613.0,117.2496,681159,GOOG
2023-05-12,117.0,118.26,116.55,117.92,31293778.0,117.4618,349221,GOOG
2023-05-15,116.49,118.795,116.48,116.96,22107865.0,117.3948,299114,GOOG
2023-05-16,116.83,121.2,116.83,120.09,32370113.0,119.7844,370876,GOOG
2023-05-17,120.18,122.28,119.46,121.48,26659564.0,120.9044,288047,GOOG
2023-05-18,121.56,123.9,121.49,123.52,27014468.0,122.9645,322016,GOOG
2023-05-19,124.2,126.479,122.72,123.25,30268864.0,123.8659,364383,GOOG
2023-05-22,123.51,127.05,123.45,125.87,29760236.0,125.9081,330978,GOOG
2023-05-23,124.93,125.42,123.05,123.29,24477945.0,124.099,265238,GOOG
2023-05-24,121.88,122.7499,120.75,121.64,23087925.0,121.7088,263225,GOOG
2023-05-25,125.21,125.98,122.9,124.35,33812730.0,124.4922,357967,GOOG
2023-05-26,124.065,126.0,123.29,125.43,25169036.0,125.1676,245416,GOOG
2023-05-30,126.29,126.38,122.89,124.64,27230726.0,124.529,329777,GOOG
2023-05-31,123.7,124.9,123.1,123.37,41548759.0,123.6419,279493,GOOG
2023-06-01,123.5,125.04,123.3,124.37,25017674.0,124.0531,247877,GOOG
2023-06-02,124.49,126.745,124.35,125.23,19367453.0,125.3646,207794,GOOG
2023-06-05,124.61,127.99,124.38,126.63,22672516.0,126.7919,256609,GOOG
2023-06-06,126.6,128.88,125.97,127.91,19450128.0,127.848,220928,GOOG
2023-06-07,127.575,129.55,122.63,122.94,34179348.0,124.2895,298179,GOOG
2023-06-08,122.585,123.73,122.01,122.67,24814996.0,122.7692,255128,GOOG
2023-06-09,122.56,124.285,122.42,122.87,20313676.0,123.2914,209979,GOOG
2023-06-12,123.395,124.75,122.35,124.35,22289632.0,123.6092,208649,GOOG
2023-06-13,125.65,125.86,123.845,124.43,19287650.0,124.6652,207651,GOOG
2023-06-14,123.8,124.79,122.16,124.38,24659620.0,123.8195,256810,GOOG
2023-06-15,123.88,126.16,123.14,125.79,24517071.0,124.9852,224598,GOOG
2023-06-16,126.7,126.7,123.79,124.06,56599200.0,124.6765,236937,GOOG
2023-06-20,123.535,125.175,122.83,123.85,22695528.0,123.8062,208425,GOOG
2023-06-21,123.235,123.41,120.86,121.26,22612002.0,121.6918,212448,GOOG
2023-06-22,120.66,123.935,119.6,123.87,20781888.0,122.3027,218659,GOOG
2023-06-23,122.04,123.44,121.86,123.02,29573123.0,122.8786,214282,GOOG
2023-06-26,121.4656,122.72,118.99,119.09,22822391.0,120.2248,236245,GOOG
2023-06-27,117.84,119.895,116.91,119.01,27222215.0,118.7017,271095,GOOG
2023-06-28,117.96,121.27,117.6,121.08,19753145.0,120.2944,216992,GOOG
2023-06-29,120.09,120.91,119.21,120.01,18517458.0,119.9927,190231,GOOG
2023-06-30,121.1,122.03,120.88,120.97,23871764.0,121.3002,222377,GOOG
2023-07-03,120.32,121.02,119.705,120.56,13888262.0,120.374,150617,GOOG
2023-07-05,120.06,123.37,120.06,122.63,17830347.0,122.4443,205078,GOOG
2023-07-06,120.64,121.1499,119.2499,120.93,17750181.0,120.4417,192930,GOOG
2023-07-07,120.89,121.75,120.09,120.14,20997665.0,120.8863,202568,GOOG
2023-07-10,119.07,119.07,116.64,116.87,32960078.0,117.3323,331959,GOOG
2023-07-11,116.76,118.225,115.83,117.71,18286571.0,117.43,196623,GOOG
2023-07-12,119.3,120.96,119.0,119.62,22059611.0,119.8107,215311,GOOG
2023-07-13,121.54,125.335,121.06,124.83,31535853.0,124.3071,300457,GOOG
2023-07-14,125.13,127.09,124.9,125.7,20499780.0,125.7791,223959,GOOG
2023-07-17,126.06,127.28,124.5,125.06,20675297.0,125.3239,208573,GOOG
2023-07-18,124.905,124.99,123.3,124.08,21071248.0,123.9981,200319,GOOG
2023-07-19,124.79,125.47,122.47,122.78,22313803.0,123.5633,248385,GOOG
2023-07-20,122.12,124.7,118.685,119.53,27541711.0,120.8341,295346,GOOG
2023-07-21,120.87,121.3,119.07,120.31,56474645.0,120.2407,265113,GOOG
2023-07-24,121.926,123.35,121.38,121.88,22312092.0,122.1357,232765,GOOG
2023-07-25,121.88,123.69,121.53,122.79,31820846.0,124.0628,343143,GOOG
2023-07-26,130.36,131.37,128.71,129.66,46216895.0,129.9937,468415,GOOG
2023-07-27,131.8,133.6,129.18,129.87,35931612.0,131.5584,351280,GOOG
2023-07-28,130.97,134.07,130.92,133.01,26971011.0,133.014,259817,GOOG
2023-07-31,133.01,133.83,132.13,133.11,18381891.0,132.9153,197858,GOOG
2023-08-01,130.855,132.92,130.75,131.89,22219012.0,131.8788,237574,GOOG
2023-08-02,129.84,130.42,127.85,128.64,22705778.0,128.9444,241906,GOOG
2023-08-03,128.37,129.77,127.775,128.77,15086132.0,128.8553,174081,GOOG
2023-08-04,129.6,131.93,128.315,128.54,20521852.0,129.7949,245418,GOOG
2023-08-07,129.51,132.06,129.43,131.94,17621041.0,131.1171,202129,GOOG
2023-08-08,130.98,131.94,130.13,131.84,16835952.0,131.3725,186233,GOOG
2023-08-09,132.19,132.47,129.505,130.15,17745218.0,130.8519,186475,GOOG
2023-08-10,131.97,132.647,130.035,130.21,17855681.0,131.0634,204029,GOOG
2023-08-11,129.202,130.44,128.75,130.17,15205465.0,129.7561,183702,GOOG
2023-08-14,129.85,131.91,129.59,131.83,17526195.0,131.3438,168174,GOOG
2023-08-15,131.59,131.99,129.819,130.27,14769173.0,130.7511,175597,GOOG
2023-08-16,129.28,130.8975,128.46,129.11,17548355.0,129.404,210996,GOOG
2023-08-17,130.45,132.4913,129.85,130.46,23665562.0,130.9301,257932,GOOG
2023-08-18,129.06,129.83,127.0,128.11,23627196.0,128.0749,259950,GOOG
2023-08-21,127.85,129.26,127.16,128.93,21851070.0,128.5364,200445,GOOG
2023-08-22,129.13,130.95,128.925,129.69,15569373.0,129.8682,172795,GOOG
2023-08-23,130.85,134.07,130.51,133.21,26497027.0,133.2082,259717,GOOG
2023-08-24,134.7272,134.97,130.3,130.42,18680381.0,131.8825,206694,GOOG
2023-08-25,130.14,131.4,128.04,130.69,20678096.0,129.9131,232375,GOOG
2023-08-28,132.08,133.24,130.85,131.79,16715467.0,131.765,201956,GOOG
2023-08-29,132.9981,137.295,132.98,135.49,30803265.0,135.2967,306213,GOOG
2023-08-30,135.57,137.25,135.021,136.93,21773356.0,136.457,218608,GOOG
